0,Europe has an opportunity to get its economy back on track in a way that creates good jobs and reinforces its global climate leadership. Here are 55 ideas on how Europe can develop and scale up the innovative technologies we'll need to reach net-zero. 
1,"The COVID-19 pandemic has set back efforts to end poverty, hunger, and malnutrition. Investing in  will speed the recovery by helping farmers adapt to climate change and rebuild food systems after the pandemic (via ). "
2,.30’s work in the community is as inspiring as his amazing record on the basketball court. I really appreciated the thoughtful conversation. 
3,Dr. Tunji Funsho’s work with  was essential in stopping wild polio in Africa and will help create a polio-free world for all. A well-deserved recognition. 
4,"This honor is well deserved. COVID-19 is not just a health crisis—it is also now a food crisis, and  is there to respond. I’m inspired by the thousands of people in the organization who have committed their lives to fighting hunger. "
5,"For the last 25 years, Dr. Firdausi Qadri, an immunologist and infectious disease researcher in Bangladesh, has been working to protect entire communities from cholera epidemics. "
6,I’m excited to see this kind of innovation. Detecting and predicting outbreaks earlier is critical to preventing epidemics. 
7,"The only way to eliminate the threat of COVID-19 somewhere is to eliminate it everywhere. By making sure poor countries are equipped to stop this disease, wealthy countries will help themselves and bring this crisis to an end sooner. "
8,Understanding this concept can help us measure our progress toward eliminating carbon emissions and serve as a guide to action. 
9,Developing and manufacturing vaccines won’t end the pandemic quickly unless we also deliver them equitably. Here is why it’s critical that vaccines are distributed in proportion to the global population:  
10,Great to see the UK commit vital funding to ensure COVID-19 vaccines are available for the world’s poorest people. PM 's plan will improve the way we prepare for future crises like this. 
11,": What do COVID-19 and malaria have to do with each other?  

When COVID-19 struck, it disrupted the entire global healt…"
12,"After 20 years of stunning advances toward global goals to improve health and reduce poverty, the COVID-19 pandemic stopped progress in its tracks. In our foundation’s Goalkeepers report, we survey the damage and discuss how to start reversing it. "
13,"To prevent the worst effects of climate change, we need innovation across all sectors—especially in the hardest to decarbonize sectors—to get us on a viable path to net-zero emissions. "
14,Dr. John Nkengasong is a true Goalkeeper. His leadership will help ensure Africa has the tools it needs to fight COVID-19:  
15,"Justice Ginsburg was a trailblazer who devoted her entire career to fighting for equal justice for women, because she knew it would improve life for everyone. America is a better place because of her service. I am inspired by her life and legacy. "
16,"My dad was the “real” Bill Gates. He was everything I try to be and I will miss him every day.

"
17,Thank you to the heroes everywhere working to keep us safe. I hope their stories inspire you just as much as they have me:  
18,These heroes represent the best of who we can be. Their efforts to solve the world’s challenges demonstrate our values as a society and they serve as powerful examples of how to make a positive difference in the world. 
19,": Some countries responded successfully to the pandemic – and more broadly, some are much more successful in protecting t…"
20,Clinical trials are critical to helping researchers better understand Alzheimer's. Improving how we identify and enroll participants in those trials will accelerate progress on diagnosing and treating the disease. 
21,I tackle every big new problem by asking two questions: Who has dealt with this problem well? And what can we learn from them?  will help to fill the gap in global health knowledge sharing and to accelerate progress in saving lives. 
22,"Of all the things I’ve learned from Warren Buffett (and there have been a lot), the most important might be what friendship is all about. Here’s why he’s a person that I admire as well as like: "
23,"Happy 90th birthday, Warren! "
24,"., thank you for making the world a healthier and more equitable place. Your understanding of how we can improve global prosperity, through support of organizations like , has been truly inspiring. Please now go take care of your own health."
25,": 6 months ago, Africa confirmed its first case of COVID19. Since then, there have been 1 million cases, affecting every country on…"
